method,representation_state,task,target,metric,value,note
diagnostic_full_seed42,,calibra,,n_patients,2530.0,partition=test
diagnostic_full_seed42,,calibra,,n_confound_columns,99.0,cancer+tss_pooled
diagnostic_full_seed42,,calibra,,n_distinct_sites_kept,75.0,min_site_count=10
diagnostic_full_seed42,full_biology,calibra,,effective_rank,47.257781759963905,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,unadjusted_top_cca,0.9362591969632077,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,adjusted_top_cca,0.8908062772911867,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,detection_floor,,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,attenuation_slope,-0.17744193665582522,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,null_reference_p90,0.0,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,observed_above_floor,0.0,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,permutation_null_median,0.15465684164941923,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,permutation_null_p95,0.16733712225451858,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,excess_over_null_median,0.7361494356417675,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,permutation_p,0.01639344262295082,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra,,heldout_top_cca,0.8757311199727019,n_draws=4;k=16
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0,recovered_median,0.9775724993808713,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.02,recovered_median,0.9754386903607761,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.05,recovered_median,0.9738160458724381,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.1,recovered_median,0.9731075240392829,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.2,recovered_median,0.9419421389509394,spike_recovery_curve
diagnostic_full_seed42,full_identity,calibra,,effective_rank,176.30069621880816,n_draws=4;k=16
diagnostic_full_seed42,full_identity,calibra,,unadjusted_top_cca,0.9394729355387706,n_draws=4;k=16
diagnostic_full_seed42,full_identity,calibra,,adjusted_top_cca,0.7960921346778912,n_draws=4;k=16
diagnostic_full_seed42,full_identity,calibra,,detection_floor,,n_draws=4;k=16
diagnostic_full_seed42,full_identity,calibra,,attenuation_slope,-0.029271580783784206,n_draws=4;k=16
diagnostic_full_seed42,full_identity,calibra,,null_reference_p90,0.0,n_draws=4;k=16
diagnostic_full_seed42,full_identity,calibra,,observed_above_floor,0.0,n_draws=4;k=16
