method,representation_state,task,target,metric,value,note
diagnostic_full_seed42,,calibra,,n_patients,2530.0,partition=test
diagnostic_full_seed42,,calibra,,n_confound_columns,99.0,cancer+tss_pooled
diagnostic_full_seed42,,calibra,,n_distinct_sites_kept,75.0,min_site_count=10
diagnostic_full_seed42,full_biology,calibra,,effective_rank,47.25778175996386,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,unadjusted_top_cca,0.9362591969632081,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,adjusted_top_cca,0.8908062772911867,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,detection_floor,0.4,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,transmission_floor,0.01,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,attenuation_slope,0.9636908629328291,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,null_reference_p90,0.18544883850024108,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,observed_above_floor,0.0,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,baseline_recovered_median,0.13247552877427743,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,baseline_is_null_like,1.0,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,baseline_null_scale,0.059643207936565815,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,observed_matched_direction,-0.052803592359396606,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,permutation_null_median,0.15311275880481845,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,permutation_null_p95,0.1713511685646375,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,excess_over_null_median,0.7376935184863682,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,permutation_p,0.0004997501249375312,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra,,heldout_top_cca,0.8757311199727019,n_draws=40;k=16
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0,recovered_median,-0.000823683312902811,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.01,recovered_median,0.008578240979501706,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.02,recovered_median,0.01803047279283454,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.03,recovered_median,0.028659986233461575,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.05,recovered_median,0.04991787481999296,spike_recovery_curve
diagnostic_full_seed42,full_biology,calibra_recovery,r_true=0.075,recovered_median,0.07510211148306839,spike_recovery_curve
