timestamp_utc,experiment,gate,value,threshold,status,note
2026-07-31T21:55:56.842314+00:00,E0_E0b,G0.1_workspace_real,link=/home/ubuntu/ws/morpheus;target=/home/ubuntu/morpheus-rebase,declared runtime link resolves to exact git root,PASS,Linux symlink is the remote equivalent of the required Windows Junction; prevents stale copied source
2026-07-31T21:55:56.880378+00:00,E0_E0b,G0.2_code_identity,24d1bff5191608af4c70c69d88e84249f4bf1f59,clean source/config worktree (protocol ledgers allowed),PASS,dirty=none
2026-07-31T21:55:57.188216+00:00,E0_E0b,G0.3_k562_identity,size=374587922;mtime=1785531001145506219;sha=37e48c474d8b5dea,readable,PASS,/home/ubuntu/e0_run/data/K562_gwps_normalized_bulk_01.h5ad
2026-07-31T21:55:57.271842+00:00,E0_E0b,G0.3_rpe1_identity,size=95350546;mtime=1785531007309646869;sha=a3c5bfd0f15d6393,readable,PASS,/home/ubuntu/e0_run/data/rpe1_normalized_bulk_01.h5ad
2026-07-31T21:55:58.414262+00:00,E0_E0b,G0.3_tcga_identity,size=960703728;mtime=1785531543884890176;sha=bf9806c1a95758b8,readable,PASS,/home/ubuntu/e0_run/data/tcga_pancan_rna.parquet
2026-07-31T21:55:58.416105+00:00,E0_E0b,G0.3_tcga_registry_identity,size=46018;mtime=1785531197160978802;sha=7f9fe1e73ace2523,readable,PASS,/home/ubuntu/e0_run/data/tcga_cancer_registry.parquet
2026-07-31T21:55:58.416119+00:00,E0_E0b,G0.4_manifest_read,data-source experiment; no trained artifacts compared,"RECORDED OBSERVATION, NOT A TEST: not applicable, explicitly declared",PASS,"recorded observation, not a test; input identities emitted in input_manifest.json and gated by G0.3"
2026-07-31T22:01:21.407385+00:00,E0_E0b,G1.1_no_constant_columns,"{""dropped"": 0, ""pre_constant"": 7094, ""dropped_fraction"": 0.0, ""evaluated"": 7094}",n_constant_columns_dropped <= 0.01*n_matched_pre_constant AND n_matched_evaluated > 100,PASS,K562_signed_log1p
2026-07-31T22:01:21.407407+00:00,E0_E0b,G1.2_real_gene_join,"8246,20501,7094",">=0.8*min(left,right)",PASS,K562_signed_log1p
2026-07-31T22:01:21.407413+00:00,E0_E0b,G1.3_join_not_scrambled,per-k observed vs gene-label permutation,"recorded; join validity is enforced by G1.2/G1.6, not by this statistic",OBSERVED,K562_signed_log1p
