stratum,target,planted,permutation_p_999,observed_top_cca,null_median,null_p95
BRCA,SYNTH_TARGET_038,True,0.049,0.12010520749739637,0.041236043896894094,0.1181223507504251
HNSC,SYNTH_TARGET_024,False,0.099,0.10992969286960756,0.04345462828634596,0.13533967901292773
HNSC,SYNTH_TARGET_027,True,0.128,0.0991635640360215,0.04129335327646335,0.12483584184736624
THCA,SYNTH_TARGET_016,False,0.216,0.07970515569701761,0.045350670118337884,0.12988105886216283
HNSC,SYNTH_TARGET_011,True,0.259,0.07143228133933655,0.04630142908558601,0.12408691782284066
BRCA,SYNTH_TARGET_036,False,0.339,0.06274262211257514,0.04335719046374734,0.12608151005517956
HNSC,SYNTH_TARGET_019,True,0.374,0.05710297981359155,0.04365453130962671,0.12280954445757239
THCA,SYNTH_TARGET_024,True,0.472,0.045768722864808285,0.042669413335367654,0.12966275867844473
KIRC,SYNTH_TARGET_002,False,0.473,0.04729948493652784,0.043716737258584035,0.128897287659131
KIRC,SYNTH_TARGET_032,False,0.515,0.04247178305440061,0.04428086237804796,0.12894651048173883
LUAD,SYNTH_TARGET_005,False,0.544,0.03891635794513554,0.04360479289795529,0.1264182603851067
BRCA,SYNTH_TARGET_020,False,0.552,0.03712329611083849,0.042605420741335616,0.1228365720339913
BRCA,SYNTH_TARGET_025,True,0.554,0.038172177901517224,0.04416831673708427,0.12689899957183473
HNSC,SYNTH_TARGET_039,True,0.582,0.037215444869941126,0.04419991780414327,0.13052938674991046
KIRC,SYNTH_TARGET_039,True,0.707,0.026798061860565575,0.04500033167880586,0.12958343437422667
BRCA,SYNTH_TARGET_010,False,0.721,0.02279608750630205,0.04339246372942594,0.12764119779181016
BRCA,SYNTH_TARGET_017,True,0.798,0.013680775617670414,0.04251466540905028,0.12847314500480608
BRCA,SYNTH_TARGET_002,False,0.859,0.011413554724471893,0.040187274890732594,0.11971108897803687
