synthetic, stable_mean:
  f=0.00 t=0.0000 A1_obs=0.9999999999999872 A1_pred=1.0
  f=0.05 t=0.0248 A1_obs=0.9966783702930829 A1_pred=1.0254160453143408
  f=0.10 t=0.0357 A1_obs=0.991809227619915 A1_pred=1.03697046743301
  f=0.20 t=0.0526 A1_obs=0.9614348225676649 A1_pred=1.0555092084246802
  f=0.30 t=0.0677 A1_obs=0.9412678179633588 A1_pred=1.072591779521791
  f=0.40 t=0.0829 A1_obs=0.9304924473640248 A1_pred=1.0903914791127745
  f=0.50 t=0.0999 A1_obs=0.9189208854093106 A1_pred=1.1109804782274024
  f=0.60 t=0.1193 A1_obs=0.8861673684148744 A1_pred=1.1354346087630771
  f=0.65 t=0.1313 A1_obs=0.8628965302081343 A1_pred=1.151158150740717
  f=0.70 t=0.1448 A1_obs=0.8337999996052439 A1_pred=1.1692687846334004
  f=0.75 t=0.1611 A1_obs=0.7893375569365639 A1_pred=1.1920722517394597
  f=0.80 t=0.1811 A1_obs=0.7717544343107738 A1_pred=1.2211146200467713
  f=0.85 t=0.2086 A1_obs=0.7295507360468733 A1_pred=1.263629065819462
  f=0.88 t=0.2310 A1_obs=0.7479539323340177 A1_pred=1.3003293303879617
  f=0.90 t=0.2490 A1_obs=0.7498009525384058 A1_pred=1.3315017054484304
  f=0.92 t=0.2729 A1_obs=0.7337769061699375 A1_pred=1.3753057134852897
  f=0.94 t=0.3040 A1_obs=0.670194259360445 A1_pred=1.4368285228542346
  f=0.95 t=0.3255 A1_obs=0.6848989093352558 A1_pred=1.482572535709747
  f=0.97 t=0.3855 A1_obs=0.6464433349956169 A1_pred=1.6272480030096332
  f=0.99 t=0.5244 A1_obs=0.6128587507642829 A1_pred=2.1024491849899998
wrote /home/ubuntu/ws_amp/out/SYNTH_stable_mean.json
