synthetic, t_pinned:
  f=0.00 t=0.0000 A1_obs=0.9999999999999889 A1_pred=1.0
  f=0.05 t=0.0248 A1_obs=1.023680989944292 A1_pred=1.0254565109018534
  f=0.10 t=0.0357 A1_obs=1.0356720299309157 A1_pred=1.0370070237560078
  f=0.20 t=0.0524 A1_obs=1.053970534493097 A1_pred=1.0552541897291705
  f=0.30 t=0.0674 A1_obs=1.0725477305174371 A1_pred=1.0723092939001488
  f=0.40 t=0.0829 A1_obs=1.0925703158617854 A1_pred=1.0904265953532255
  f=0.50 t=0.0990 A1_obs=1.1094457792976715 A1_pred=1.109884209100694
  f=0.60 t=0.1198 A1_obs=1.1363854489275096 A1_pred=1.1361559483804218
  f=0.65 t=0.1325 A1_obs=1.1529847903415265 A1_pred=1.1527319585303544
  f=0.70 t=0.1441 A1_obs=1.1689972806356554 A1_pred=1.16830056196963
  f=0.75 t=0.1627 A1_obs=1.1934449002475258 A1_pred=1.1943164429953768
  f=0.80 t=0.1849 A1_obs=1.2264723413145795 A1_pred=1.226774560326087
  f=0.85 t=0.2094 A1_obs=1.2655060085533467 A1_pred=1.2647917131061506
  f=0.88 t=0.2351 A1_obs=1.3068966998012137 A1_pred=1.3073633768775117
  f=0.90 t=0.2505 A1_obs=1.3349405326060184 A1_pred=1.3342455042751975
  f=0.92 t=0.2742 A1_obs=1.379465217481845 A1_pred=1.3778197130217649
  f=0.94 t=0.3034 A1_obs=1.4370828740605326 A1_pred=1.4356255221700782
  f=0.95 t=0.3244 A1_obs=1.4799209419658843 A1_pred=1.4802492238471343
  f=0.97 t=0.3826 A1_obs=1.6208149254230464 A1_pred=1.6196652072931441
  f=0.99 t=0.5251 A1_obs=2.107122277824519 A1_pred=2.1056972061853196
wrote /home/ubuntu/ws_amp/out/SYNTH_t_pinned.json
