synthetic, unstable_mean:
  f=0.00 t=0.0023 A1_obs=0.9999123577194333 A1_pred=1.0022975449046088
  f=0.05 t=0.0251 A1_obs=1.0439832727723133 A1_pred=1.0257144539203464
  f=0.10 t=0.0364 A1_obs=0.9654534698502646 A1_pred=1.0377735567749031
  f=0.20 t=0.0520 A1_obs=0.8959187998352764 A1_pred=1.0548688844051322
  f=0.30 t=0.0678 A1_obs=0.7526523215829987 A1_pred=1.072757099889393
  f=0.40 t=0.0817 A1_obs=0.7555504935001834 A1_pred=1.088926342272926
  f=0.50 t=0.0995 A1_obs=0.7050060084091471 A1_pred=1.1105535344053565
  f=0.60 t=0.1199 A1_obs=0.5246256301947018 A1_pred=1.1362853805935038
  f=0.65 t=0.1305 A1_obs=0.44489340577471204 A1_pred=1.1500676775896388
  f=0.70 t=0.1453 A1_obs=0.5628572332976461 A1_pred=1.1699795545968075
  f=0.75 t=0.1616 A1_obs=0.37871853076157397 A1_pred=1.1927329289647848
  f=0.80 t=0.1818 A1_obs=0.3201373714102183 A1_pred=1.2222163509011716
  f=0.85 t=0.2096 A1_obs=0.23982613481579745 A1_pred=1.2652237683185747
  f=0.88 t=0.2311 A1_obs=0.4349557239563846 A1_pred=1.3005866491489233
  f=0.90 t=0.2454 A1_obs=0.30234379103009784 A1_pred=1.3252639923563523
  f=0.92 t=0.2725 A1_obs=0.27222562376577997 A1_pred=1.3746271724938217
  f=0.94 t=0.3077 A1_obs=0.2956855556108937 A1_pred=1.4444458493972736
  f=0.95 t=0.3243 A1_obs=0.1923258439656595 A1_pred=1.4798804367564355
  f=0.97 t=0.3887 A1_obs=0.20248697118719464 A1_pred=1.6357658198467844
  f=0.99 t=0.5233 A1_obs=0.15526075185763147 A1_pred=2.0977323310653566
wrote /home/ubuntu/ws_amp/out/SYNTH_unstable_mean.json
